#TYPE Selected.System.String
"CreationTime","LastAccessTime","LastWriteTime","Attributes","Owner","FullName","Sign","MD5"
"2021-04-29 18:17:31","2021-06-03 10:53:18","2021-04-29 18:17:31","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.GROOVE.16.1033.hxn",,"98DDAE3F907B220ADEBFCC8974C10E24"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:28","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.MSOUC.16.1033.hxn",,"BA470FF54D2D0522C1A1D31671ADCC8B"
"2021-04-29 18:17:44","2021-06-03 10:53:18","2021-04-29 18:17:44","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.MSPUB.16.1033.hxn",,"A45AFB61DF2B0DDEF0138D4B70160A16"
"2021-04-29 18:17:37","2021-06-03 10:53:18","2021-04-29 18:17:37","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.ONENOTE.16.1033.hxn",,"931B4114A34620751BF85F78A8BE6C6D"
"2021-04-29 18:17:36","2021-06-03 10:53:18","2021-04-29 18:17:36","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.OUTLOOK.16.1033.hxn",,"DF6195CE3A167F8F67A49B575A343266"
"2021-04-29 18:17:43","2021-06-03 10:53:18","2021-04-29 18:17:43","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.POWERPNT.16.1033.hxn",,"EF4ADFDC688B31405358058C4F32FCBB"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:28","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.SETLANG.16.1033.hxn",,"8FD90CF5F0633C139780BA567BD6B9F0"
"2021-04-29 18:17:45","2021-06-03 10:53:18","2021-04-29 18:17:46","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\MS.WINWORD.16.1033.hxn",,"8C216D37A4D95E89A29719A2F24AF869"
"2021-04-29 18:17:28","2021-06-03 10:53:18","2021-04-29 18:17:46","","NT AUTHORITY\SYSTEM","C:\Users\All Users\Microsoft Help\nslist.hxl",,"5021C7444AC32DACFF16DB10F3EAE3B3"
"2019-12-07 16:14:52","2021-06-04 08:57:09","2019-12-07 16:14:52","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\AppData",,
"2020-10-08 23:42:12","2020-10-08 23:42:12","2020-10-08 23:42:12","<Dir>","NT AUTHORITY\SYSTEM","C:\Users\Default\Application Data",,
